key,tet
subtitle1,Informasaun Jeral
q1,Nasaun
q2,Organizasaun
q3,"Munisipiu ne'ebe peskador sira fila hosi peska, meti ka luku"
q4,"Aldeia ne'ebe peskador sira fila hosi peska, meti ka luku"
q5,"Bairo ne'ebe peskador sira fila hosi peska, meti ka luku"
q6,Naran Koletor Dadus
a1,*Naran foun koletor dadus*
q7,Data hatun ikan
subtitle2,Informasaun Peska husi Peskadór
q8,Peskador naran sa?
a2,*Naran Peskadór foun*
q9,Peskador feto ka mane? (La presija husu hili deit)
q10,Peskadór ne'e hela iha ${admin3_label}?
q11,Peskador husi Munisipiu ne'ebe:
q12,Peskador husi Suku ne'ebe:
q13,Peskador husi Aldeia/Bairo ne'ebe:
q14,Total loron ba peska ativu? (la inklui tempu viajen)
q15,Naran hosi hatun ikan ba
q16,Naran Sosa na'in (karik hatene)
a9,*Naran foun sosa na'in*
q17,Sosa na'in ne'e feto ka mane? (La presija husu hili deit)
q18,Ikan ne'e imi hotu nian ka balu fahe ona no ida ne'e ${fisher_id_label} nian deit?
subtitle3,Espésie ne'e hatun husi se ${fisher_id_label}
q19,Tipu kapturasaun.
q20,"Naran Lokál Ikan (uza kartaun referénsia espésie nian, karik presiza)"
a12,Favor espesífika espésie sira iha saku ne'ebe kahur malu (hili barak)
a13,*Naran lokál ikan foun*
q21,*Ikan foun ho Naran Ingles (karik hatene)*
q22,*Naran família sientífiku ba ikan foun(karik hatene)*
q23,*Naran ikan sientífiku ba espésie foun (karik hatene)*
q24,*Foti foto ikan foun.*
q25,Unidade todan ne'ebe kaer
q26,Total todan ne'ebe hatun (${weight_unit}): ${local_name_label}
q27,Total todan ne'ebe fa'an ona (estimasaun ou atual): ${local_name_label}
q28,Total ikan ne'ebe hatun (ekor): ${local_name_label}
q29,Ita halo prosesu kaer ida-ne'e?
q30,Total presu ikan ne'ebe fa'an ona (estimasaun ou atual): ${local_name_label}
q31,Razaun totál ikan ne'ebe la sosa/la faan
a27,Kualidade la di'ak
a28,Ki'ik liu
a29,Bo'ot liu
a30,Rezerva ba aan de'it
a31,Seluk
a14,kilograma (kg)
a15,grama (g)
a16,pon (lbs)
a17,ons (oz)
a3,Mane
a4,Feto
a5,Non-binariu
a6,Negósiu ne'ebé kompostu husi ema barak (la'os jéneru)
a7,Loos
a8,La'e
a10,Ikan ne'e hotu-hotu nian
a11,Ikan ne'e fahe ona
a23,La'e
a24,Maran
a25,Masin
a26,Fuma
a18,Tomak
a19,Merkadu ne'ebé moos/parsialmente prosesa
a20,Filet
a21,Tail
a22,Fin
star,Aplika de'it ba parseiru ka nasaun sira ne'ebé deside ona.
